track_name,track_artist,valence,energy,track_album_name,track_href,track_album_release_date,track_popularity
Die With A Smile,"Lady Gaga, Bruno Mars",0.535,0.592,Die With A Smile,https://api.spotify.com/v1/tracks/2plbrEY59IikOBgBGLjaoe,2024-08-16,100
BIRDS OF A FEATHER,Billie Eilish,0.438,0.507,HIT ME HARD AND SOFT,https://api.spotify.com/v1/tracks/6dOtVTDdiauQNBQEDOtlAB,2024-05-17,97
That’s So True,Gracie Abrams,0.372,0.808,The Secret of Us (Deluxe),https://api.spotify.com/v1/tracks/7ne4VBA60CxGM75vw0EYad,2024-10-18,93
Taste,Sabrina Carpenter,0.786,0.91,Short n' Sweet,https://api.spotify.com/v1/tracks/1d7Ptw3qYcfpdLNL5REhtJ,2024-08-23,81
APT.,"ROSÉ, Bruno Mars",0.939,0.783,APT.,https://api.spotify.com/v1/tracks/5vNRhkKd0yEAg8suGBpjeY,2024-10-18,98
"Good Luck, Babe!",Chappell Roan,0.785,0.582,"Good Luck, Babe!",https://api.spotify.com/v1/tracks/0WbMK4wrZ1wFSty9F7FCgu,2024-04-05,94
Diet Pepsi,Addison Rae,0.841,0.561,Diet Pepsi,https://api.spotify.com/v1/tracks/6MzofobZt2dm0Kf1hTThFz,2024-08-09,88
WILDFLOWER,Billie Eilish,0.126,0.247,HIT ME HARD AND SOFT,https://api.spotify.com/v1/tracks/3QaPy1KgI7nu9FJEQUgn6h,2024-05-17,93
Sailor Song,Gigi Perez,0.297,0.416,Sailor Song,https://api.spotify.com/v1/tracks/0UYnhUfnUj5adChuAXvLUB,2024-07-26,71
Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",0.57,0.722,Timeless,https://api.spotify.com/v1/tracks/1Es7AUAhQvapIcoh3qMKDL,2024-09-27,92
Guess featuring billie eilish,"Charli xcx, Billie Eilish",0.618,0.667,Guess featuring Billie Eilish,https://api.spotify.com/v1/tracks/3WOhcATHxK2SLNeP5W3v1v,2024-08-01,85
Please Please Please,Sabrina Carpenter,0.579,0.586,Please Please Please,https://api.spotify.com/v1/tracks/5N3hjp1WNayUPZrA8kJmJP,2024-06-06,88
2 hands,Tate McRae,0.587,0.806,2 hands,https://api.spotify.com/v1/tracks/1f18HzFpegqvH4ibGJyeMJ,2024-11-14,79
A Bar Song (Tipsy),Shaboozey,0.604,0.709,A Bar Song (Tipsy),https://api.spotify.com/v1/tracks/2FQrifJ1N335Ljm3TjTVVf,2024-04-12,86
HOT TO GO!,Chappell Roan,0.957,0.757,The Rise and Fall of a Midwest Princess,https://api.spotify.com/v1/tracks/4xdBrk0nFZaP54vvZj0yx7,2023-09-22,88
Disease,Lady Gaga,0.501,0.917,Disease,https://api.spotify.com/v1/tracks/19KlZwqlT3fguP2BeHF1Q1,2024-10-25,86
Moonlit Floor (Kiss Me),LISA,0.672,0.787,Moonlit Floor (Kiss Me),https://api.spotify.com/v1/tracks/5G345YEhvleYxQLfYUlEFv,2024-10-08,82
Love Somebody,Morgan Wallen,0.746,0.843,Love Somebody,https://api.spotify.com/v1/tracks/7hR22TOX3RorxJPcsz5Wbo,2024-10-18,86
"I Love You, I'm Sorry",Gracie Abrams,0.338,0.406,The Secret of Us,https://api.spotify.com/v1/tracks/51rfRCiUSvxXlCSCfIztBy,2024-06-21,90
Move,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",0.655,0.782,Move,https://api.spotify.com/v1/tracks/1BJJbSX6muJVF2AK7uH1x4,2024-06-07,86
"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",0.664,0.812,CHROMAKOPIA,https://api.spotify.com/v1/tracks/3tFed7YsjGnIfxeLEQwx3R,2024-10-28,88
Espresso,Sabrina Carpenter,0.69,0.76,Espresso,https://api.spotify.com/v1/tracks/2qSkIjg1o9h3YT9RAgYN75,2024-04-12,90
Mantra,JENNIE,0.838,0.725,Mantra,https://api.spotify.com/v1/tracks/2CspwnypzT7rcWI9RfsoSb,2024-10-10,89
Qué Pasaría...,"Rauw Alejandro, Bad Bunny",0.343,0.563,Cosa Nuestra,https://api.spotify.com/v1/tracks/0l0vcZMU7AOeQmUIREoI2U,2024-11-15,82
NEW DROP,Don Toliver,0.321,0.628,HARDSTONE PSYCHO,https://api.spotify.com/v1/tracks/2c7z5oRcPBbqRaBY2mLWcf,2024-06-14,85
I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",0.731,0.855,I Had Some Help,https://api.spotify.com/v1/tracks/7221xIgOnuakPdLqT0F3nP,2024-05-10,84
Too Sweet,Hozier,0.934,0.62,Unheard,https://api.spotify.com/v1/tracks/4IadxL6BUymXlh8RCJJu7T,2024-03-22,77
No One Noticed,The Marías,0.457,0.339,Submarine,https://api.spotify.com/v1/tracks/3siwsiaEoU4Kuuc9WKMUy5,2024-05-31,84
